,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28,stomach_pain,acidity,vomiting,cough,chest_pain,GERD,,,,,,,,,,,,
29,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,GERD,,,,,,,,,,,,
30,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,
31,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
32,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
33,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
34,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
35,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
36,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,,
37,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,Chronic cholestasis,,,,,,,,,,,
38,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,
39,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Chronic cholestasis,,,,,,,,,,
40,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,
41,itching,stomach_pain,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
42,itching,skin_rash,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
43,itching,skin_rash,stomach_pain,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
44,itching,skin_rash,stomach_pain,burning_micturition,Drug Reaction,,,,,,,,,,,,,
45,skin_rash,stomach_pain,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
46,itching,stomach_pain,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
47,itching,skin_rash,burning_micturition,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
48,itching,skin_rash,stomach_pain,spotting_ urination,Drug Reaction,,,,,,,,,,,,,
49,itching,skin_rash,stomach_pain,burning_micturition,Drug Reaction,,,,,,,,,,,,,
50,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
51,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
52,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
53,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
54,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
55,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
56,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,Peptic ulcer diseae,,,,,,,,,,,,
57,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,Peptic ulcer diseae,,,,,,,,,,,,
58,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,
59,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Peptic ulcer diseae,,,,,,,,,,,
60,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,
61,patches_in_throat,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,,
62,muscle_wasting,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,,
63,muscle_wasting,patches_in_throat,extra_marital_contacts,AIDS,,,,,,,,,,,,,,
64,muscle_wasting,patches_in_throat,high_fever,AIDS,,,,,,,,,,,,,,
65,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,
66,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,
67,patches_in_throat,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,,
68,muscle_wasting,high_fever,extra_marital_contacts,AIDS,,,,,,,,,,,,,,
69,muscle_wasting,patches_in_throat,high_fever,AIDS,,,,,,,,,,,,,,
70,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,
71,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,
72,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
73,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
74,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
75,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
76,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
77,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
78,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,Diabetes ,,,,,,,,
79,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,Diabetes ,,,,,,,,
80,vomiting,sunken_eyes,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,
81,vomiting,sunken_eyes,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,
82,sunken_eyes,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
83,vomiting,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
84,vomiting,sunken_eyes,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
85,vomiting,sunken_eyes,dehydration,Gastroenteritis,,,,,,,,,,,,,,
86,vomiting,sunken_eyes,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,
87,sunken_eyes,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
88,vomiting,dehydration,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
89,vomiting,sunken_eyes,diarrhoea,Gastroenteritis,,,,,,,,,,,,,,
90,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,
91,cough,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
92,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
93,fatigue,cough,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
94,fatigue,cough,high_fever,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
95,fatigue,cough,high_fever,breathlessness,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
96,fatigue,cough,high_fever,breathlessness,family_history,Bronchial Asthma,,,,,,,,,,,,
97,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,
98,cough,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
99,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,Bronchial Asthma,,,,,,,,,,,,
100,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,
101,chest_pain,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
102,headache,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
103,headache,chest_pain,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
104,headache,chest_pain,dizziness,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
105,headache,chest_pain,dizziness,loss_of_balance,Hypertension ,,,,,,,,,,,,,
106,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,
107,chest_pain,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
108,headache,dizziness,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
109,headache,chest_pain,loss_of_balance,lack_of_concentration,Hypertension ,,,,,,,,,,,,,
110,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,
111,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
112,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
113,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
114,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
115,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
116,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,Migraine,,,,,,,,,
117,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,Migraine,,,,,,,,,
118,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,Migraine,,,,,,,,,
119,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,Migraine,,,,,,,,,
120,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,
121,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,
122,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
123,back_pain,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
124,back_pain,weakness_in_limbs,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
125,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
126,back_pain,weakness_in_limbs,neck_pain,dizziness,Cervical spondylosis,,,,,,,,,,,,,
127,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,
128,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
129,back_pain,neck_pain,dizziness,loss_of_balance,Cervical spondylosis,,,,,,,,,,,,,
130,vomiting,headache,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,
131,vomiting,headache,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,
132,headache,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
133,vomiting,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
134,vomiting,headache,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
135,vomiting,headache,weakness_of_one_body_side,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
136,vomiting,headache,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,
137,headache,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
138,vomiting,weakness_of_one_body_side,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
139,vomiting,headache,altered_sensorium,Paralysis (brain hemorrhage),,,,,,,,,,,,,,
140,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,
141,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,
142,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
143,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
144,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
145,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
146,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
147,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,Jaundice,,,,,,,,,,
148,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,Jaundice,,,,,,,,,,
149,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,Jaundice,,,,,,,,,,
150,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,Malaria,,,,,,,,,,
151,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,
152,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,
153,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
154,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
155,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
156,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
157,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
158,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,Malaria,,,,,,,,,,
159,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,Malaria,,,,,,,,,,
160,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,
161,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
162,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
163,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
164,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
165,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
166,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
167,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
168,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,Chicken pox,,,,,,,
169,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body,Chicken pox,,,,,,,
170,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,Dengue,,,,
171,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,Dengue,,,,
172,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,Dengue,,,,
173,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,
174,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
175,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
176,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
177,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
178,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
179,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,Dengue,,,,
180,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
181,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
182,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
183,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
184,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
185,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,Typhoid,,,,,,,
186,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),Typhoid,,,,,,,
187,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,
188,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,
189,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,Typhoid,,,,,,,
190,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,
191,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,
192,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
193,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
194,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
195,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
196,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
197,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
198,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
199,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain,hepatitis A,,,,,,,
200,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,
201,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,
202,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
203,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
204,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
205,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
206,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
207,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
208,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
209,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,Hepatitis B,,,,,,
210,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,Hepatitis C,,,,,,,,,,,,
211,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,
212,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,,
213,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,,
214,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,,
215,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,,
216,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,Hepatitis C,,,,,,,,,,,,
217,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,Hepatitis C,,,,,,,,,,,,
218,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,
219,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,Hepatitis C,,,,,,,,,,,
220,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Hepatitis D,,,,,,,,
221,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Hepatitis D,,,,,,,,,
222,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Hepatitis D,,,,,,,,,
223,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Hepatitis D,,,,,,,,,
224,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Hepatitis D,,,,,,,,,
